Nom;Adresse;Contact;Numero;"Date Ajout"
"Du Bon Pain";"Avenue Bernard Hirsch, Cergy, France";"Maxime Renault";01/01/1970;00:00
"Du Bon Pain La Boulangerie Prestigieuse";"149 Rue Montmartre, Paris, France";"Maxime Renault";01/01/1970;00:00
"Mon Voisin cuisine";"55 Rue La Boétie, Paris, France";"Anouck Talban";01/01/1970;00:00
Léonie;"55 Rue La Boétie, Paris, France";"Mylène Surget";01/01/1970;00:00
"Bistrot des Campagnes";"6 Rue Léopold Robert, 75014 Paris, France";;01/01/1970;00:00
Chalizar;"121 Avenue du Maine, 75014 Paris, France";;01/01/1970;00:00
"Da Zagara";"37 Avenue Duquesne, 75007 Paris, France";;01/01/1970;00:00
Finzi;"182 Boulevard Haussmann, 75008 Paris, France";;01/01/1970;00:00
"Il Barone";"5 Rue Léopold Robert, 75014 Paris, France";;01/01/1970;00:00
"Il Gallo Nero";"36 Rue Raymond Losserand, 75014 Paris, France";;01/01/1970;00:00
"La Cerisaie";"70 Boulevard Edgar Quinet, 75014 Paris, France";;01/01/1970;00:00
"La Coloniale";"25 Rue Mazarine, 75006 Paris, France";;01/01/1970;00:00
"La Divina Commedia";"12 Rue du Dragon, 75006 Paris, France";;01/01/1970;00:00
"La Luna";"69 Rue du Rocher, 75008 Paris, France";;01/01/1970;00:00
"La Table du Vietnam";"6 Avenue Bosquet, 75007 Paris, France";;01/01/1970;00:00
"Le Bélisaire";"2 Rue Marmontel, 75015 Paris, France";;01/01/1970;00:00
"Le Petit Centre du Monde";"1 Rue Jean Mermoz, 75008 Paris, France";;01/01/1970;00:00
"Les Frangines";"46 Rue Raymond Losserand, 75014 Paris, France";;01/01/1970;00:00
Sawadee;"53 Avenue Emile Zola, 75015 Paris, France";;01/01/1970;00:00
"Su Misura";"22 Avenue Rapp, 75007 Paris, France";;01/01/1970;00:00
Yookoso;"24 Rue Malar, 75007 Paris, France";;01/01/1970;00:00
Manna;"44 Rue de Lourmel, 75015 Paris, France";;01/01/1970;00:00
"Marco Polo";"1 Rue Saint-Sulpice, 75006 Paris, France";;01/01/1970;00:00
"New Jawad";"12 Avenue Rapp, Paris, France";;01/01/1970;00:00
Attablez-vous;"45 Rue Saint-Dominique, Paris, France";"Sammy Fisher";01/01/1970;00:00
"Boulangerie Carton";"6 Boulevard de Denain, Paris, France";"Maxime Renault";01/01/1970;00:00
"4 jours 4 diners";"55 Rue La Boétie, Paris, France";"Florence Hurel";01/01/1970;00:00
"Boulangerie Gaia";"28 Boulevard Voltaire, 75011 Paris, France";"Maxime Renault";01/01/1970;00:00
"Boulangerie Desgrippes";"182 Boulevard Voltaire, 75011 Paris, France";"Maxime Renault";01/01/1970;00:00
"Boulangerie Moderne by Thierry Rabineau";"16 Rue des Fossés Saint-Jacques, Paris, France";"Maxime Renault";01/01/1970;00:00
"The Place To";"47 Avenue de Wagram, Paris, France";;01/01/1970;00:00
Kinnari;"8 Rue Malar, 75007 Paris, France";;01/01/1970;00:00
"Kok Ping";"4 Rue Balzac, 75008 Paris, France";;01/01/1970;00:00
Kinnari;"8 Rue Malar, Paris, France";;01/01/1970;00:00
Caviste;"1 Rue de Vaugirard, Paris, France";;01/01/1970;00:00
"Daily Monop";"1 Rue de Rivoli, Paris, France";;01/01/1970;00:00
"Kok Ping";"4 Rue Balzac, Paris, France";;01/01/1970;00:00
Wynd;"55 Rue La Boétie, Paris, France";"Pernette Guillaume";01/01/1970;00:00
Zekai;"101 Rue Lauriston, Paris, France";;01/01/1970;00:00
Tiffin;"73 Rue la Fayette, Paris, France";"guilaine.girard@tiffin-box.com ";01/01/1970;00:00
BPI;"8 Boulevard Haussmann, France";"Jean-Christophe GOUGEON";01/01/1970;00:00
Wedoogift;"55 Rue La Boétie, Paris, France";"Jérome proust";15/09/2091;00:00
"Plat Maison";"55 Rue La Boétie, Paris, France";"Guillaume Manca";01/01/1970;00:00
"Cuisto 2";"37 Rue Dunois, Paris, France";;01/01/1970;00:00
"Cuisto 3";"57 Rue Pastourelle, Paris, France";;01/01/1970;00:00
"Cuisto 4";"47 Rue de Maubeuge, Paris, France";;01/01/1970;00:00
"Cuisto 5";"55 Rue La Boétie, Paris, France";;01/01/1970;00:00
"Cuisto nikix edit";"8 rue alibert";nicolas.aubert@hivemind.fr;01/01/1970;00:00
"Pièce du Boucher";"6 Rue du Moulinet, Paris, France";martin@pieceduboucher.com;01/01/1970;00:00
Cuizeen;"7 Rue du Grand Prieuré, Paris, France";"Isabel Yus";01/01/1970;00:00
Popchef;"8 Rue Beauregard, Paris, France";Francois;01/01/1970;00:00
Bergamotte;"11 Rue de Belzunce, Paris, France";"Romain ";01/01/1970;00:00
"Benoit Laisné";"69 Boulevard de Sébastopol, Paris, France";"Benoit Laisné";01/01/1970;00:00
"Hugo Desnoyer Saint Germain";"4 Rue Lobineau, Paris, France";"Gilles Penot";01/01/1970;00:00
Notabene;"55 Rue La Boétie, Paris, France";"Sandra Martinie";01/01/1970;00:00
"Denis Scarfe";"23 Rue Faraday, France";"Stephany Denis";01/01/1970;00:00
Comuneat;"113 Rue Anatole France, Paris, France";"Anthony Lau";01/01/1970;00:00
"Caviste Authentique";"55 Rue La Boétie, Paris, France";"Mathieu Corradini";01/01/1970;00:00
"La Cave du Sénat";"16 Rue de Vaugirard, Paris, France";Antoine;01/01/1970;00:00
"Soif D'Ailleurs";"38 Rue Pastourelle, Paris, France";"Mathieu ou Cathie";01/01/1970;00:00
